City,Date,High,Low,Average,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
San Francisco,11/6/10,68,54,61,3.1,4,0,T,0,0
,,,,,,,,,,
San Francisco,11/7/10,61,53,57,-0.7,8,0,0.39,0,0
,,,,,,,,,,
San Francisco,11/8/10,60,50,55,-2.5,10,0,0,0,0
,,,,,,,,,,
San Francisco,11/9/10,61,46,53.5,-3.8,11,0,T,0,0
,,,,,,,,,,
San Francisco,11/10/10,61,52,56.5,-0.5,8,0,0.02,0,0
,,,,,,,,,,
San Francisco,11/11/10,66,49,57.5,0.7,7,0,0,0,0
,,,,,,,,,,
San Francisco,11/12/10,66,45,55.5,-1.1,9,0,0,0,0
,,,,,,,,,,
San Francisco,11/13/10,71,47,59,2.7,6,0,0,0,0
,,,,,,,,,,
San Francisco,11/14/10,77,52,64.5,8.4,0,0,0,0,0
,,,,,,,,,,
San Francisco,11/15/10,78,58,68,12.1,0,3,0,0,0
,,,,,,,,,,
San Francisco,11/16/10,69,53,61,5.3,4,0,0,0,0
,,,,,,,,,,
San Francisco,11/17/10,66,47,56.5,1.1,8,0,0,0,0
,,,,,,,,,,
San Francisco,11/18/10,59,46,52.5,-2.7,12,0,0,0,0
,,,,,,,,,,
San Francisco,11/19/10,56,46,51,-4,14,0,0.39,0,0
,,,,,,,,,,
San Francisco,11/20/10,55,45,50,-4.8,15,0,0.72,0,0
,,,,,,,,,,
San Francisco,11/21/10,55,44,49.5,-5,15,0,0.2,0,0
,,,,,,,,,,
San Francisco,11/22/10,57,48,52.5,-1.8,12,0,0.01,0,0
,,,,,,,,,,
San Francisco,11/23/10,54,43,48.5,-5.6,16,0,0.24,0,0
,,,,,,,,,,
San Francisco,11/24/10,50,38,44,-9.9,21,0,0,0,0
,,,,,,,,,,
San Francisco,11/25/10,52,37,44.5,-9.2,20,0,0,0,0
,,,,,,,,,,
San Francisco,11/26/10,53,37,45,-8.5,20,0,0,0,0
,,,,,,,,,,
San Francisco,11/27/10,54,47,50.5,-2.8,14,0,0.44,0,0
,,,,,,,,,,
San Francisco,11/28/10,53,42,47.5,-5.6,17,0,0,0,0
,,,,,,,,,,
San Francisco,11/29/10,54,38,46,-6.9,19,0,0,0,0
,,,,,,,,,,
San Francisco,11/30/10,52,39,45.5,-7.2,19,0,0,0,0
,,,,,,,,,,
San Francisco,12/1/10,54,39,46.5,-6,18,0,0,0,0
,,,,,,,,,,
San Francisco,12/2/10,53,44,48.5,-3.8,16,0,T,0,0
,,,,,,,,,,
San Francisco,12/3/10,54,50,52,-0.1,13,0,0,0,0
,,,,,,,,,,
San Francisco,12/4/10,59,50,54.5,2.5,10,0,0.02,0,0
,,,,,,,,,,
San Francisco,12/5/10,61,50,55.5,3.7,9,0,0.37,0,0
,,,,,,,,,,
San Francisco,12/6/10,62,50,56,4.4,9,0,0.04,0,0
,,,,,,,,,,
San Francisco,12/7/10,59,45,52,0.5,13,0,0,0,0
,,,,,,,,,,
San Francisco,12/8/10,57,50,53.5,2.2,11,0,0.82,0,0
,,,,,,,,,,
San Francisco,12/9/10,59,54,56.5,5.3,8,0,T,0,0
,,,,,,,,,,
San Francisco,12/10/10,60,55,57.5,6.5,7,0,T,0,0
,,,,,,,,,,
San Francisco,12/11/10,60,52,56,5.1,9,0,0,0,0
,,,,,,,,,,
San Francisco,12/12/10,58,52,55,4.2,10,0,0,0,0
,,,,,,,,,,
San Francisco,12/13/10,57,53,55,4.3,10,0,0,0,0
,,,,,,,,,,
San Francisco,12/14/10,60,52,56,5.4,9,0,0.18,0,0
,,,,,,,,,,
San Francisco,12/15/10,55,43,49,-1.5,16,0,0,0,0
,,,,,,,,,,
San Francisco,12/16/10,53,40,46.5,-3.9,18,0,0.04,0,0
,,,,,,,,,,
San Francisco,12/17/10,57,48,52.5,2.2,12,0,0.69,0,0
,,,,,,,,,,
San Francisco,12/18/10,61,55,58,7.8,7,0,0.34,0,0
,,,,,,,,,,
San Francisco,12/19/10,59,51,55,4.9,10,0,1.37,0,0
,,,,,,,,,,
San Francisco,12/20/10,54,48,51,1,14,0,T,0,0
,,,,,,,,,,
San Francisco,12/21/10,58,47,52.5,2.6,12,0,0.14,0,0
,,,,,,,,,,
San Francisco,12/22/10,55,49,52,2.1,13,0,0.16,0,0
,,,,,,,,,,
San Francisco,12/23/10,54,42,48,-1.8,17,0,0,0,0
,,,,,,,,,,
San Francisco,12/24/10,59,41,50,0.2,15,0,0,0,0
,,,,,,,,,,
San Francisco,12/25/10,56,47,51.5,1.8,13,0,0.83,0,0
,,,,,,,,,,
San Francisco,12/26/10,58,46,52,2.3,13,0,0.01,0,0
,,,,,,,,,,
San Francisco,12/27/10,54,45,49.5,-0.2,15,0,0,0,0
,,,,,,,,,,
San Francisco,12/28/10,57,49,53,3.4,12,0,0.9,0,0
,,,,,,,,,,
San Francisco,12/29/10,57,44,50.5,0.9,14,0,0.09,0,0
,,,,,,,,,,
San Francisco,12/30/10,52,41,46.5,-3.1,18,0,0,0,0
,,,,,,,,,,
San Francisco,12/31/10,49,38,43.5,-6.1,21,0,T,0,0
,,,,,,,,,,
San Francisco,1/1/11,52,47,49.5,-0.1,15,0,0.09,0,0
,,,,,,,,,,
San Francisco,1/2/11,51,48,49.5,-0.1,15,0,0.35,0,0
,,,,,,,,,,
San Francisco,1/3/11,53,45,49,-0.6,16,0,0,0,0
,,,,,,,,,,
San Francisco,1/4/11,53,39,46,-3.6,19,0,0,0,0
,,,,,,,,,,
San Francisco,1/5/11,55,38,46.5,-3.1,18,0,0,0,0
,,,,,,,,,,
San Francisco,1/6/11,52,37,44.5,-5.1,20,0,0,0,0
,,,,,,,,,,
San Francisco,1/7/11,47,39,43,-6.7,22,0,0,0,0
,,,,,,,,,,
San Francisco,1/8/11,49,43,46,-3.7,19,0,0,0,0
,,,,,,,,,,
San Francisco,1/9/11,48,39,43.5,-6.2,21,0,0,0,0
,,,,,,,,,,
San Francisco,1/10/11,49,36,42.5,-7.3,22,0,0,0,0
,,,,,,,,,,
San Francisco,1/11/11,49,43,46,-3.8,19,0,0.04,0,0
,,,,,,,,,,
San Francisco,1/12/11,55,48,51.5,1.6,13,0,T,0,0
,,,,,,,,,,
San Francisco,1/13/11,56,45,50.5,0.6,14,0,0.15,0,0
,,,,,,,,,,
San Francisco,1/14/11,60,50,55,5,10,0,0,0,0
,,,,,,,,,,
San Francisco,1/15/11,63,47,55,5,10,0,0,0,0
,,,,,,,,,,
San Francisco,1/16/11,57,47,52,1.9,13,0,0,0,0
,,,,,,,,,,
San Francisco,1/17/11,57,48,52.5,2.3,12,0,0,0,0
,,,,,,,,,,
San Francisco,1/18/11,59,46,52.5,2.3,12,0,0,0,0
,,,,,,,,,,
San Francisco,1/19/11,61,48,54.5,4.2,10,0,0,0,0
,,,,,,,,,,
San Francisco,1/20/11,63,45,54,3.6,11,0,0,0,0
,,,,,,,,,,
San Francisco,1/21/11,60,43,51.5,1,13,0,0,0,0
,,,,,,,,,,
San Francisco,1/22/11,67,44,55.5,4.9,9,0,0,0,0
,,,,,,,,,,
San Francisco,1/23/11,63,47,55,4.3,10,0,0,0,0
,,,,,,,,,,
San Francisco,1/24/11,63,43,53,2.3,12,0,0,0,0
,,,,,,,,,,
San Francisco,1/25/11,68,44,56,5.2,9,0,0,0,0
,,,,,,,,,,
San Francisco,1/26/11,65,46,55.5,4.6,9,0,0,0,0
,,,,,,,,,,
San Francisco,1/27/11,62,44,53,2,12,0,0,0,0
,,,,,,,,,,
San Francisco,1/28/11,53,46,49.5,-1.6,15,0,0,0,0
,,,,,,,,,,
San Francisco,1/29/11,56,50,53,1.8,12,0,0.06,0,0
,,,,,,,,,,
San Francisco,1/30/11,57,46,51.5,0.2,13,0,0.25,0,0
,,,,,,,,,,
San Francisco,1/31/11,56,41,48.5,-2.9,16,0,0,0,0
,,,,,,,,,,
San Francisco,2/1/11,63,45,54,2.5,11,0,0,0,0
,,,,,,,,,,
San Francisco,2/2/11,62,48,55,3.4,10,0,0,0,0
,,,,,,,,,,
San Francisco,2/3/11,60,41,50.5,-1.3,14,0,0,0,0
,,,,,,,,,,
San Francisco,2/4/11,65,42,53.5,1.6,11,0,0,0,0
,,,,,,,,,,
San Francisco,2/5/11,73,46,59.5,7.5,5,0,0,0,0
,,,,,,,,,,
San Francisco,2/6/11,72,55,63.5,11.4,1,0,0,0,0
,,,,,,,,,,
San Francisco,2/7/11,66,48,57,4.8,8,0,0,0,0
,,,,,,,,,,
San Francisco,2/8/11,60,50,55,2.7,10,0,0,0,0
,,,,,,,,,,
San Francisco,2/9/11,60,42,51,-1.4,14,0,0,0,0
,,,,,,,,,,
San Francisco,2/10/11,64,40,52,-0.5,13,0,0,0,0
,,,,,,,,,,
San Francisco,2/11/11,64,42,53,0.4,12,0,0,0,0
,,,,,,,,,,
San Francisco,2/12/11,67,43,55,2.3,10,0,0,0,0
,,,,,,,,,,
San Francisco,2/13/11,57,43,50,-2.8,15,0,0,0,0
,,,,,,,,,,
San Francisco,2/14/11,58,50,54,1.1,11,0,0.12,0,0
,,,,,,,,,,
San Francisco,2/15/11,61,52,56.5,3.5,8,0,0.43,0,0
,,,,,,,,,,
San Francisco,2/16/11,54,43,48.5,-4.6,16,0,0.76,0,0
,,,,,,,,,,
San Francisco,2/17/11,51,44,47.5,-5.7,17,0,0.8,0,0
,,,,,,,,,,
San Francisco,2/18/11,47,39,43,-10.3,22,0,0.89,0,0
,,,,,,,,,,
San Francisco,2/19/11,45,40,42.5,-10.9,22,0,0.83,0,0
,,,,,,,,,,
San Francisco,2/20/11,53,37,45,-8.5,20,0,0,0,0
,,,,,,,,,,
San Francisco,2/21/11,52,39,45.5,-8,19,0,T,0,0
,,,,,,,,,,
San Francisco,2/22/11,56,39,47.5,-6.1,17,0,0,0,0
,,,,,,,,,,
San Francisco,2/23/11,53,41,47,-6.7,18,0,0,0,0
,,,,,,,,,,
San Francisco,2/24/11,52,45,48.5,-5.3,16,0,0.31,0,0
,,,,,,,,,,
San Francisco,2/25/11,53,39,46,-7.9,19,0,0.65,0,0
,,,,,,,,,,
San Francisco,2/26/11,49,35,42,-11.9,23,0,T,0,0
,,,,,,,,,,
San Francisco,2/27/11,55,36,45.5,-8.5,19,0,0,0,0
,,,,,,,,,,
San Francisco,2/28/11,57,40,48.5,-5.6,16,0,0,0,0
,,,,,,,,,,
San Francisco,3/1/11,59,40,49.5,-4.6,15,0,0.02,0,0
,,,,,,,,,,
San Francisco,3/2/11,58,49,53.5,-0.7,11,0,0.11,0,0
,,,,,,,,,,
San Francisco,3/3/11,61,50,55.5,1.2,9,0,0,0,0
,,,,,,,,,,
San Francisco,3/4/11,61,44,52.5,-1.8,12,0,0,0,0
,,,,,,,,,,
San Francisco,3/5/11,64,46,55,0.6,10,0,0.04,0,0
,,,,,,,,,,
San Francisco,3/6/11,59,51,55,0.6,10,0,0.48,0,0
,,,,,,,,,,
San Francisco,3/7/11,56,49,52.5,-2,12,0,T,0,0
,,,,,,,,,,
San Francisco,3/8/11,59,50,54.5,0,10,0,T,0,0
,,,,,,,,,,
San Francisco,3/9/11,61,47,54,-0.6,11,0,0,0,0
,,,,,,,,,,
San Francisco,3/10/11,60,46,53,-1.6,12,0,0.01,0,0
,,,,,,,,,,
San Francisco,3/11/11,57,45,51,-3.7,14,0,0,0,0
,,,,,,,,,,
San Francisco,3/12/11,61,45,53,-1.7,12,0,0,0,0
,,,,,,,,,,
San Francisco,3/13/11,64,51,57.5,2.7,7,0,0.19,0,0
,,,,,,,,,,
San Francisco,3/14/11,60,54,57,2.2,8,0,0.13,0,0
,,,,,,,,,,
San Francisco,3/15/11,61,54,57.5,2.6,7,0,0.22,0,0
,,,,,,,,,,
San Francisco,3/16/11,58,48,53,-1.9,12,0,0.01,0,0
,,,,,,,,,,
San Francisco,3/17/11,59,42,50.5,-4.4,14,0,0.02,0,0
,,,,,,,,,,
San Francisco,3/18/11,56,47,51.5,-3.5,13,0,0.7,0,0
,,,,,,,,,,
San Francisco,3/19/11,53,45,49,-6,16,0,1.05,0,0
,,,,,,,,,,
San Francisco,3/20/11,57,47,52,-3.1,13,0,0.07,0,0
,,,,,,,,,,
San Francisco,3/21/11,57,46,51.5,-3.6,13,0,0.08,0,0
,,,,,,,,,,
San Francisco,3/22/11,58,45,51.5,-3.7,13,0,0.04,0,0
,,,,,,,,,,
San Francisco,3/23/11,56,48,52,-3.2,13,0,0.42,0,0
,,,,,,,,,,
San Francisco,3/24/11,52,46,49,-6.3,16,0,1.48,0,0
,,,,,,,,,,
San Francisco,3/25/11,58,48,53,-2.3,12,0,0.04,0,0
,,,,,,,,,,
San Francisco,3/26/11,58,47,52.5,-2.9,12,0,0.57,0,0
,,,,,,,,,,
San Francisco,3/27/11,57,45,51,-4.4,14,0,0.02,0,0
,,,,,,,,,,
San Francisco,3/28/11,59,46,52.5,-3,12,0,0,0,0
,,,,,,,,,,
San Francisco,3/29/11,62,47,54.5,-1,10,0,0,0,0
,,,,,,,,,,
San Francisco,3/30/11,75,51,63,7.4,2,0,0,0,0
,,,,,,,,,,
San Francisco,3/31/11,80,54,67,11.3,0,2,0,0,0
,,,,,,,,,,
San Francisco,4/1/11,78,54,66,10.3,0,1,0,0,0
,,,,,,,,,,
San Francisco,4/2/11,62,50,56,0.2,9,0,0,0,0
,,,,,,,,,,
San Francisco,4/3/11,63,46,54.5,-1.4,10,0,0,0,0
,,,,,,,,,,
San Francisco,4/4/11,74,47,60.5,4.6,4,0,0,0,0
,,,,,,,,,,
San Francisco,4/5/11,61,50,55.5,-0.5,9,0,0,0,0
,,,,,,,,,,
San Francisco,4/6/11,59,47,53,-3.1,12,0,0,0,0
,,,,,,,,,,
San Francisco,4/7/11,53,45,49,-7.1,16,0,0.04,0,0
,,,,,,,,,,
San Francisco,4/8/11,58,41,49.5,-6.7,15,0,0,0,0
,,,,,,,,,,
San Francisco,4/9/11,58,45,51.5,-4.8,13,0,0,0,0
,,,,,,,,,,
San Francisco,4/10/11,59,47,53,-3.4,12,0,0,0,0
,,,,,,,,,,
San Francisco,4/11/11,62,49,55.5,-1,9,0,0,0,0
,,,,,,,,,,
San Francisco,4/12/11,56,47,51.5,-5.1,13,0,0,0,0
,,,,,,,,,,
San Francisco,4/13/11,58,46,52,-4.6,13,0,0.15,0,0
,,,,,,,,,,
San Francisco,4/14/11,61,46,53.5,-3.2,11,0,0,0,0
,,,,,,,,,,
San Francisco,4/15/11,65,49,57,0.2,8,0,0,0,0
,,,,,,,,,,
San Francisco,4/16/11,66,53,59.5,2.6,5,0,0,0,0
,,,,,,,,,,
San Francisco,4/17/11,61,53,57,0,8,0,0,0,0
,,,,,,,,,,
San Francisco,4/18/11,62,53,57.5,0.4,7,0,0.03,0,0
,,,,,,,,,,
San Francisco,4/19/11,66,52,59,1.8,6,0,0,0,0
,,,,,,,,,,
San Francisco,4/20/11,65,53,59,1.7,6,0,0.02,0,0
,,,,,,,,,,
San Francisco,4/21/11,60,49,54.5,-2.9,10,0,0.03,0,0
,,,,,,,,,,
San Francisco,4/22/11,58,48,53,-4.5,12,0,0,0,0
,,,,,,,,,,
San Francisco,4/23/11,62,49,55.5,-2.1,9,0,0.01,0,0
,,,,,,,,,,
San Francisco,4/24/11,61,54,57.5,-0.2,7,0,0.03,0,0
,,,,,,,,,,
San Francisco,4/25/11,62,51,56.5,-1.2,8,0,0.02,0,0
,,,,,,,,,,
San Francisco,4/26/11,62,49,55.5,-2.3,9,0,0,0,0
,,,,,,,,,,
San Francisco,4/27/11,61,49,55,-2.9,10,0,0,0,0
,,,,,,,,,,
San Francisco,4/28/11,61,48,54.5,-3.5,10,0,0,0,0
,,,,,,,,,,
San Francisco,4/29/11,64,43,53.5,-4.6,11,0,0,0,0
,,,,,,,,,,
San Francisco,4/30/11,69,50,59.5,1.3,5,0,0,0,0
,,,,,,,,,,
San Francisco,5/1/11,76,47,61.5,3.2,3,0,0,0,0
,,,,,,,,,,
San Francisco,5/2/11,65,50,57.5,-0.9,7,0,0,0,0
,,,,,,,,,,
San Francisco,5/3/11,69,49,59,0.5,6,0,0,0,0
,,,,,,,,,,
San Francisco,5/4/11,84,52,68,9.4,0,3,0,0,0
,,,,,,,,,,
San Francisco,5/5/11,78,52,65,6.3,0,0,0,0,0
,,,,,,,,,,
San Francisco,5/6/11,60,50,55,-3.7,10,0,0,0,0
,,,,,,,,,,
San Francisco,5/7/11,60,51,55.5,-3.3,9,0,0,0,0
,,,,,,,,,,
San Francisco,5/8/11,61,50,55.5,-3.4,9,0,0,0,0
,,,,,,,,,,
San Francisco,5/9/11,63,47,55,-4,10,0,0,0,0
,,,,,,,,,,
San Francisco,5/10/11,62,49,55.5,-3.6,9,0,0,0,0
,,,,,,,,,,
San Francisco,5/11/11,59,51,55,-4.2,10,0,0,0,0
,,,,,,,,,,
San Francisco,5/12/11,63,50,56.5,-2.8,8,0,0,0,0
,,,,,,,,,,
San Francisco,5/13/11,60,48,54,-5.4,11,0,0,0,0
,,,,,,,,,,
San Francisco,5/14/11,58,47,52.5,-6.9,12,0,0.11,0,0
,,,,,,,,,,
San Francisco,5/15/11,60,46,53,-6.5,12,0,0.08,0,0
,,,,,,,,,,
San Francisco,5/16/11,61,50,55.5,-4.1,9,0,0.09,0,0
,,,,,,,,,,
San Francisco,5/17/11,57,50,53.5,-6.2,11,0,0.11,0,0
,,,,,,,,,,
San Francisco,5/18/11,63,51,57,-2.8,8,0,T,0,0
,,,,,,,,,,
San Francisco,5/19/11,68,49,58.5,-1.4,6,0,0,0,0
,,,,,,,,,,
San Francisco,5/20/11,64,50,57,-2.9,8,0,0,0,0
,,,,,,,,,,
San Francisco,5/21/11,62,52,57,-3,8,0,0,0,0
,,,,,,,,,,
San Francisco,5/22/11,61,51,56,-4.1,9,0,0,0,0
,,,,,,,,,,
San Francisco,5/23/11,64,50,57,-3.2,8,0,0,0,0
,,,,,,,,,,
San Francisco,5/24/11,62,49,55.5,-4.8,9,0,0,0,0
,,,,,,,,,,
San Francisco,5/25/11,62,49,55.5,-4.9,9,0,0.01,0,0
,,,,,,,,,,
San Francisco,5/26/11,64,50,57,-3.5,8,0,0,0,0
,,,,,,,,,,
San Francisco,5/27/11,63,53,58,-2.5,7,0,0,0,0
,,,,,,,,,,
San Francisco,5/28/11,64,50,57,-3.6,8,0,T,0,0
,,,,,,,,,,
San Francisco,5/29/11,65,48,56.5,-4.2,8,0,0,0,0
,,,,,,,,,,
San Francisco,5/30/11,62,50,56,-4.8,9,0,0,0,0
,,,,,,,,,,
San Francisco,5/31/11,60,54,57,-3.9,8,0,0.07,0,0
,,,,,,,,,,
San Francisco,6/1/11,62,51,56.5,-4.5,8,0,0.15,0,0
,,,,,,,,,,
San Francisco,6/2/11,63,51,57,-4.1,8,0,T,0,0
,,,,,,,,,,
San Francisco,6/3/11,61,50,55.5,-5.7,9,0,0.16,0,0
,,,,,,,,,,
San Francisco,6/4/11,66,55,60.5,-0.7,4,0,0.66,0,0
,,,,,,,,,,
San Francisco,6/5/11,66,55,60.5,-0.8,4,0,0,0,0
,,,,,,,,,,
San Francisco,6/6/11,61,56,58.5,-2.9,6,0,0,0,0
,,,,,,,,,,
San Francisco,6/7/11,67,53,60,-1.5,5,0,0,0,0
,,,,,,,,,,
San Francisco,6/8/11,67,54,60.5,-1.1,4,0,0,0,0
,,,,,,,,,,
San Francisco,6/9/11,69,51,60,-1.7,5,0,0,0,0
,,,,,,,,,,
San Francisco,6/10/11,63,53,58,-3.8,7,0,0,0,0
,,,,,,,,,,
San Francisco,6/11/11,60,52,56,-5.9,9,0,0,0,0
,,,,,,,,,,
San Francisco,6/12/11,66,52,59,-3,6,0,0,0,0
,,,,,,,,,,
San Francisco,6/13/11,65,53,59,-3,6,0,0,0,0
,,,,,,,,,,
San Francisco,6/14/11,76,51,63.5,1.4,1,0,0,0,0
,,,,,,,,,,
San Francisco,6/15/11,71,53,62,-0.2,3,0,0,0,0
,,,,,,,,,,
San Francisco,6/16/11,68,52,60,-2.3,5,0,0,0,0
,,,,,,,,,,
San Francisco,6/17/11,71,51,61,-1.4,4,0,0,0,0
,,,,,,,,,,
San Francisco,6/18/11,69,52,60.5,-2,4,0,0,0,0
,,,,,,,,,,
San Francisco,6/19/11,79,53,66,3.5,0,1,0,0,0
,,,,,,,,,,
San Francisco,6/20/11,90,57,73.5,10.9,0,9,0,0,0
,,,,,,,,,,
San Francisco,6/21/11,86,54,70,7.3,0,5,0,0,M
,,,,,,,,,,
San Francisco,6/22/11,68,52,60,-2.8,5,0,0,0,0
,,,,,,,,,,
San Francisco,6/23/11,66,53,59.5,-3.3,5,0,0,0,M
,,,,,,,,,,
San Francisco,6/24/11,70,52,61,-1.9,4,0,0,0,0
,,,,,,,,,,
San Francisco,6/25/11,65,52,58.5,-4.5,6,0,0,0,0
,,,,,,,,,,
San Francisco,6/26/11,69,53,61,-2,4,0,0,0,0
,,,,,,,,,,
San Francisco,6/27/11,65,53,59,-4.1,6,0,0,0,0
,,,,,,,,,,
San Francisco,6/28/11,62,55,58.5,-4.6,6,0,0.52,0,0
,,,,,,,,,,
San Francisco,6/29/11,64,54,59,-4.2,6,0,0,0,0
,,,,,,,,,,
San Francisco,6/30/11,69,53,61,-2.2,4,0,0,0,0
,,,,,,,,,,
San Francisco,7/1/11,80,54,67,3.7,0,2,0,0,0
,,,,,,,,,,
San Francisco,7/2/11,70,53,61.5,-1.8,3,0,0,0,0
,,,,,,,,,,
San Francisco,7/3/11,84,56,70,6.6,0,5,0,0,0
,,,,,,,,,,
San Francisco,7/4/11,69,55,62,-1.4,3,0,0,0,0
,,,,,,,,,,
San Francisco,7/5/11,78,52,65,1.5,0,0,0,0,0
,,,,,,,,,,
San Francisco,7/6/11,70,52,61,-2.5,4,0,0,0,0
,,,,,,,,,,
San Francisco,7/7/11,69,53,61,-2.5,4,0,0,0,0
,,,,,,,,,,
San Francisco,7/8/11,72,53,62.5,-1.1,2,0,0,0,0
,,,,,,,,,,
San Francisco,7/9/11,66,52,59,-4.6,6,0,0,0,0
,,,,,,,,,,
San Francisco,7/10/11,69,53,61,-2.6,4,0,0,0,0
,,,,,,,,,,
San Francisco,7/11/11,63,53,58,-5.6,7,0,T,0,0
,,,,,,,,,,
San Francisco,7/12/11,65,54,59.5,-4.2,5,0,0,0,0
,,,,,,,,,,
San Francisco,7/13/11,61,55,58,-5.7,7,0,T,0,0
,,,,,,,,,,
San Francisco,7/14/11,63,55,59,-4.7,6,0,0,0,0
,,,,,,,,,,
San Francisco,7/15/11,64,55,59.5,-4.2,5,0,T,0,0
,,,,,,,,,,
San Francisco,7/16/11,70,56,63,-0.7,2,0,0,0,0
,,,,,,,,,,
San Francisco,7/17/11,67,57,62,-1.8,3,0,T,0,0
,,,,,,,,,,
San Francisco,7/18/11,75,56,65.5,1.7,0,1,0,0,0
,,,,,,,,,,
San Francisco,7/19/11,69,57,63,-0.8,2,0,0,0,0
,,,,,,,,,,
San Francisco,7/20/11,80,56,68,4.2,0,3,0,0,0
,,,,,,,,,,
San Francisco,7/21/11,74,54,64,0.2,1,0,0,0,0
,,,,,,,,,,
San Francisco,7/22/11,75,55,65,1.2,0,0,0,0,0
,,,,,,,,,,
San Francisco,7/23/11,72,55,63.5,-0.3,1,0,0,0,0
,,,,,,,,,,
San Francisco,7/24/11,72,56,64,0.1,1,0,0,0,0
,,,,,,,,,,
San Francisco,7/25/11,66,55,60.5,-3.4,4,0,0,0,0
,,,,,,,,,,
San Francisco,7/26/11,70,55,62.5,-1.4,2,0,0,0,0
,,,,,,,,,,
San Francisco,7/27/11,73,55,64,0.1,1,0,0,0,0
,,,,,,,,,,
San Francisco,7/28/11,70,55,62.5,-1.4,2,0,0,0,0
,,,,,,,,,,
San Francisco,7/29/11,70,56,63,-0.9,2,0,0,0,0
,,,,,,,,,,
San Francisco,7/30/11,73,58,65.5,1.5,0,1,0,0,0
,,,,,,,,,,
San Francisco,7/31/11,71,58,64.5,0.5,0,0,0,0,0
,,,,,,,,,,
San Francisco,8/1/11,69,56,62.5,-1.5,2,0,0,0,0
,,,,,,,,,,
San Francisco,8/2/11,67,54,60.5,-3.5,4,0,0,0,0
,,,,,,,,,,
San Francisco,8/3/11,74,52,63,-1.1,2,0,0,0,0
,,,,,,,,,,
San Francisco,8/4/11,64,57,60.5,-3.6,4,0,0,0,0
,,,,,,,,,,
San Francisco,8/5/11,71,55,63,-1.1,2,0,0,0,0
,,,,,,,,,,
