City,Date,High,Low,0
,,,,0
San Francisco,11/12/10,66,45,0
,,,,0
San Francisco,11/13/10,71,47,0
,,,,0
San Francisco,11/14/10,77,52,0
,,,,0
San Francisco,11/15/10,78,58,0
,,,,0
San Francisco,11/16/10,69,53,0
,,,,0
San Francisco,11/17/10,66,47,0
,,,,0
San Francisco,11/18/10,59,46,0
,,,,0
San Francisco,11/19/10,56,46,0.39
,,,,0
San Francisco,11/20/10,55,45,0.72
,,,,0
San Francisco,11/21/10,55,44,0.2
,,,,0
San Francisco,11/22/10,57,48,0.01
,,,,0
San Francisco,11/23/10,54,43,0.24
,,,,0
San Francisco,11/24/10,50,38,0
,,,,0
San Francisco,11/25/10,52,37,0
,,,,0
San Francisco,11/26/10,53,37,0
,,,,0
San Francisco,11/27/10,54,47,0.44
,,,,0
San Francisco,11/28/10,53,42,0
,,,,0
San Francisco,11/29/10,54,38,0
,,,,0
San Francisco,11/30/10,52,39,0
,,,,0
San Francisco,12/1/10,54,39,0
,,,,0
San Francisco,12/2/10,53,44,0
,,,,0
San Francisco,12/3/10,54,50,0
,,,,0
San Francisco,12/4/10,59,50,0.02
,,,,0
San Francisco,12/5/10,61,50,0.37
,,,,0
San Francisco,12/6/10,62,50,0.04
,,,,0
San Francisco,12/7/10,59,45,0
,,,,0
San Francisco,12/8/10,57,50,0.82
,,,,0
San Francisco,12/9/10,59,54,0
,,,,0
San Francisco,12/10/10,60,55,0
,,,,0
San Francisco,12/11/10,60,52,0
,,,,0
San Francisco,12/12/10,58,52,0
,,,,0
San Francisco,12/13/10,57,53,0
,,,,0
San Francisco,12/14/10,60,52,0.18
,,,,0
San Francisco,12/15/10,55,43,0
,,,,0
San Francisco,12/16/10,53,40,0.04
,,,,0
San Francisco,12/17/10,57,48,0.69
,,,,0
San Francisco,12/18/10,61,55,0.34
,,,,0
San Francisco,12/19/10,59,51,1.37
,,,,0
San Francisco,12/20/10,54,48,0
,,,,0
San Francisco,12/21/10,58,47,0.14
,,,,0
San Francisco,12/22/10,55,49,0.16
,,,,0
San Francisco,12/23/10,54,42,0
,,,,0
San Francisco,12/24/10,59,41,0
,,,,0
San Francisco,12/25/10,56,47,0.83
,,,,0
San Francisco,12/26/10,58,46,0.01
,,,,0
San Francisco,12/27/10,54,45,0
,,,,0
San Francisco,12/28/10,57,49,0.9
,,,,0
San Francisco,12/29/10,57,44,0.09
,,,,0
San Francisco,12/30/10,52,41,0
,,,,0
San Francisco,12/31/10,49,38,0
,,,,0
San Francisco,1/1/11,52,47,0.09
,,,,0
San Francisco,1/2/11,51,48,0.35
,,,,0
San Francisco,1/3/11,53,45,0
,,,,0
San Francisco,1/4/11,53,39,0
,,,,0
San Francisco,1/5/11,55,38,0
,,,,0
San Francisco,1/6/11,52,37,0
,,,,0
San Francisco,1/7/11,47,39,0
,,,,0
San Francisco,1/8/11,49,43,0
,,,,0
San Francisco,1/9/11,48,39,0
,,,,0
San Francisco,1/10/11,49,36,0
,,,,0
San Francisco,1/11/11,49,43,0.04
,,,,0
San Francisco,1/12/11,55,48,0
,,,,0
San Francisco,1/13/11,56,45,0.15
,,,,0
San Francisco,1/14/11,60,50,0
,,,,0
San Francisco,1/15/11,63,47,0
,,,,0
San Francisco,1/16/11,57,47,0
,,,,0
San Francisco,1/17/11,57,48,0
,,,,0
San Francisco,1/18/11,59,46,0
,,,,0
San Francisco,1/19/11,61,48,0
,,,,0
San Francisco,1/20/11,63,45,0
,,,,0
San Francisco,1/21/11,60,43,0
,,,,0
San Francisco,1/22/11,67,44,0
,,,,0
San Francisco,1/23/11,63,47,0
,,,,0
San Francisco,1/24/11,63,43,0
,,,,0
San Francisco,1/25/11,68,44,0
,,,,0
San Francisco,1/26/11,65,46,0
,,,,0
San Francisco,1/27/11,62,44,0
,,,,0
San Francisco,1/28/11,53,46,0
,,,,0
San Francisco,1/29/11,56,50,0.06
,,,,0
San Francisco,1/30/11,57,46,0.25
,,,,0
San Francisco,1/31/11,56,41,0
,,,,0
San Francisco,2/1/11,63,45,0
,,,,0
San Francisco,2/2/11,62,48,0
,,,,0
San Francisco,2/3/11,60,41,0
,,,,0
San Francisco,2/4/11,65,42,0
,,,,0
San Francisco,2/5/11,73,46,0
,,,,0
San Francisco,2/6/11,72,55,0
,,,,0
San Francisco,2/7/11,66,48,0
,,,,0
San Francisco,2/8/11,60,50,0
,,,,0
San Francisco,2/9/11,60,42,0
,,,,0
San Francisco,2/10/11,64,40,0
,,,,0
San Francisco,2/11/11,64,42,0
,,,,0
San Francisco,2/12/11,67,43,0
,,,,0
San Francisco,2/13/11,57,43,0
,,,,0
San Francisco,2/14/11,58,50,0.12
,,,,0
San Francisco,2/15/11,61,52,0.43
,,,,0
San Francisco,2/16/11,54,43,0.76
,,,,0
San Francisco,2/17/11,51,44,0.8
,,,,0
San Francisco,2/18/11,47,39,0.89
,,,,0
San Francisco,2/19/11,45,40,0.83
,,,,0
San Francisco,2/20/11,53,37,0
,,,,0
San Francisco,2/21/11,52,39,0
,,,,0
San Francisco,2/22/11,56,39,0
,,,,0
San Francisco,2/23/11,53,41,0
,,,,0
San Francisco,2/24/11,52,45,0.31
,,,,0
San Francisco,2/25/11,53,39,0.65
,,,,0
San Francisco,2/26/11,49,35,0
,,,,0
San Francisco,2/27/11,55,36,0
,,,,0
San Francisco,2/28/11,57,40,0
,,,,0
San Francisco,3/1/11,59,40,0.02
,,,,0
San Francisco,3/2/11,58,49,0.11
,,,,0
San Francisco,3/3/11,61,50,0
,,,,0
San Francisco,3/4/11,61,44,0
,,,,0
San Francisco,3/5/11,64,46,0.04
,,,,0
San Francisco,3/6/11,59,51,0.48
,,,,0
San Francisco,3/7/11,56,49,0
,,,,0
San Francisco,3/8/11,59,50,0
,,,,0
San Francisco,3/9/11,61,47,0
,,,,0
San Francisco,3/10/11,60,46,0.01
,,,,0
San Francisco,3/11/11,57,45,0
,,,,0
San Francisco,3/12/11,61,45,0
,,,,0
San Francisco,3/13/11,64,51,0.19
,,,,0
San Francisco,3/14/11,60,54,0.13
,,,,0
San Francisco,3/15/11,61,54,0.22
,,,,0
San Francisco,3/16/11,58,48,0.01
,,,,0
San Francisco,3/17/11,59,42,0.02
,,,,0
San Francisco,3/18/11,56,47,0.7
,,,,0
San Francisco,3/19/11,53,45,1.05
,,,,0
San Francisco,3/20/11,57,47,0.07
,,,,0
San Francisco,3/21/11,57,46,0.08
,,,,0
San Francisco,3/22/11,58,45,0.04
,,,,0
San Francisco,3/23/11,56,48,0.42
,,,,0
San Francisco,3/24/11,52,46,1.48
,,,,0
San Francisco,3/25/11,58,48,0.04
,,,,0
San Francisco,3/26/11,58,47,0.57
,,,,0
San Francisco,3/27/11,57,45,0.02
,,,,0
San Francisco,3/28/11,59,46,0
,,,,0
San Francisco,3/29/11,62,47,0
,,,,0
San Francisco,3/30/11,75,51,0
,,,,0
San Francisco,3/31/11,80,54,0
,,,,0
San Francisco,4/1/11,78,54,0
,,,,0
San Francisco,4/2/11,62,50,0
,,,,0
San Francisco,4/3/11,63,46,0
,,,,0
San Francisco,4/4/11,74,47,0
,,,,0
San Francisco,4/5/11,61,50,0
,,,,0
San Francisco,4/6/11,59,47,0
,,,,0
San Francisco,4/7/11,53,45,0.04
,,,,0
San Francisco,4/8/11,58,41,0
,,,,0
San Francisco,4/9/11,58,45,0
,,,,0
San Francisco,4/10/11,59,47,0
,,,,0
San Francisco,4/11/11,62,49,0
,,,,0
San Francisco,4/12/11,56,47,0
,,,,0
San Francisco,4/13/11,58,46,0.15
,,,,0
San Francisco,4/14/11,61,46,0
,,,,0
San Francisco,4/15/11,65,49,0
,,,,0
San Francisco,4/16/11,66,53,0
,,,,0
San Francisco,4/17/11,61,53,0
,,,,0
San Francisco,4/18/11,62,53,0.03
,,,,0
San Francisco,4/19/11,66,52,0
,,,,0
San Francisco,4/20/11,65,53,0.02
,,,,0
San Francisco,4/21/11,60,49,0.03
,,,,0
San Francisco,4/22/11,58,48,0
,,,,0
San Francisco,4/23/11,62,49,0.01
,,,,0
San Francisco,4/24/11,61,54,0.03
,,,,0
San Francisco,4/25/11,62,51,0.02
,,,,0
San Francisco,4/26/11,62,49,0
,,,,0
San Francisco,4/27/11,61,49,0
,,,,0
San Francisco,4/28/11,61,48,0
,,,,0
San Francisco,4/29/11,64,43,0
,,,,0
San Francisco,4/30/11,69,50,0
,,,,0
San Francisco,5/1/11,76,47,0
,,,,0
San Francisco,5/2/11,65,50,0
,,,,0
San Francisco,5/3/11,69,49,0
,,,,0
San Francisco,5/4/11,84,52,0
,,,,0
San Francisco,5/5/11,78,52,0
,,,,0
San Francisco,5/6/11,60,50,0
,,,,0
San Francisco,5/7/11,60,51,0
,,,,0
San Francisco,5/8/11,61,50,0
,,,,0
San Francisco,5/9/11,63,47,0
,,,,0
San Francisco,5/10/11,62,49,0
,,,,0
San Francisco,5/11/11,59,51,0
,,,,0
San Francisco,5/12/11,63,50,0
,,,,0
San Francisco,5/13/11,60,48,0
,,,,0
San Francisco,5/14/11,58,47,0.11
,,,,0
San Francisco,5/15/11,60,46,0.08
,,,,0
San Francisco,5/16/11,61,50,0.09
,,,,0
San Francisco,5/17/11,57,50,0.11
,,,,0
San Francisco,5/18/11,63,51,0
,,,,0
San Francisco,5/19/11,68,49,0
,,,,0
San Francisco,5/20/11,64,50,0
,,,,0
San Francisco,5/21/11,62,52,0
,,,,0
San Francisco,5/22/11,61,51,0
,,,,0
San Francisco,5/23/11,64,50,0
,,,,0
San Francisco,5/24/11,62,49,0
,,,,0
San Francisco,5/25/11,62,49,0.01
,,,,0
San Francisco,5/26/11,64,50,0
,,,,0
San Francisco,5/27/11,63,53,0
,,,,0
San Francisco,5/28/11,64,50,0
,,,,0
San Francisco,5/29/11,65,48,0
,,,,0
San Francisco,5/30/11,62,50,0
,,,,0
San Francisco,5/31/11,60,54,0.07
,,,,0
San Francisco,6/1/11,62,51,0.15
,,,,0
San Francisco,6/2/11,63,51,0
,,,,0
San Francisco,6/3/11,61,50,0.16
,,,,0
San Francisco,6/4/11,66,55,0.66
,,,,0
San Francisco,6/5/11,66,55,0
,,,,0
San Francisco,6/6/11,61,56,0
,,,,0
San Francisco,6/7/11,67,53,0
,,,,0
San Francisco,6/8/11,67,54,0
,,,,0
San Francisco,6/9/11,69,51,0
,,,,0
San Francisco,6/10/11,63,53,0
,,,,0
San Francisco,6/11/11,60,52,0
,,,,0
San Francisco,6/12/11,66,52,0
,,,,0
San Francisco,6/13/11,65,53,0
,,,,0
San Francisco,6/14/11,76,51,0
,,,,0
San Francisco,6/15/11,71,53,0
,,,,0
San Francisco,6/16/11,68,52,0
,,,,0
San Francisco,6/17/11,71,51,0
,,,,0
San Francisco,6/18/11,69,52,0
,,,,0
San Francisco,6/19/11,79,53,0
,,,,0
San Francisco,6/20/11,90,57,0
,,,,0
San Francisco,6/21/11,86,54,0
,,,,0
San Francisco,6/22/11,68,52,0
,,,,0
San Francisco,6/23/11,66,53,0
,,,,0
San Francisco,6/24/11,70,52,0
,,,,0
San Francisco,6/25/11,65,52,0
,,,,0
San Francisco,6/26/11,69,53,0
,,,,0
San Francisco,6/27/11,65,53,0
,,,,0
San Francisco,6/28/11,62,55,0.52
,,,,0
San Francisco,6/29/11,64,54,0
,,,,0
San Francisco,6/30/11,69,53,0
,,,,0
San Francisco,7/1/11,80,54,0
,,,,0
San Francisco,7/2/11,70,53,0
,,,,0
San Francisco,7/3/11,84,56,0
,,,,0
San Francisco,7/4/11,69,55,0
,,,,0
San Francisco,7/5/11,78,52,0
,,,,0
San Francisco,7/6/11,70,52,0
,,,,0
San Francisco,7/7/11,69,53,0
,,,,0
San Francisco,7/8/11,72,53,0
,,,,0
San Francisco,7/9/11,66,52,0
,,,,0
San Francisco,7/10/11,69,53,0
,,,,0
San Francisco,7/11/11,63,53,0
,,,,0
San Francisco,7/12/11,65,54,0
,,,,0
San Francisco,7/13/11,61,55,0
,,,,0
San Francisco,7/14/11,63,55,0
,,,,0
San Francisco,7/15/11,64,55,0
,,,,0
San Francisco,7/16/11,70,56,0
,,,,0
San Francisco,7/17/11,67,57,0
,,,,0
San Francisco,7/18/11,75,56,0
,,,,0
San Francisco,7/19/11,69,57,0
,,,,0
San Francisco,7/20/11,80,56,0
,,,,0
San Francisco,7/21/11,74,54,0
,,,,0
San Francisco,7/22/11,75,55,0
,,,,0
San Francisco,7/23/11,72,55,0
,,,,0
San Francisco,7/24/11,72,56,0
,,,,0
San Francisco,7/25/11,66,55,0
,,,,0
San Francisco,7/26/11,70,55,0
,,,,0
San Francisco,7/27/11,73,55,0
,,,,0
San Francisco,7/28/11,70,55,0
,,,,0
San Francisco,7/29/11,70,56,0
,,,,0
San Francisco,7/30/11,73,58,0
,,,,0
San Francisco,7/31/11,71,58,0
,,,,0
San Francisco,8/1/11,69,56,0
,,,,0
San Francisco,8/2/11,67,54,0
,,,,0
San Francisco,8/3/11,74,52,0
,,,,0
San Francisco,8/4/11,64,57,0
,,,,0
San Francisco,8/5/11,71,55,0
,,,,0
San Francisco,8/6/11,73,55,0
,,,,0
San Francisco,8/7/11,64,56,0
,,,,0
San Francisco,8/8/11,66,55,0
,,,,0
San Francisco,8/9/11,69,53,0
,,,,0
San Francisco,8/10/11,72,53,0
,,,,0
San Francisco,8/11/11,68,54,0
,,,,0
San Francisco,8/12/11,68,54,0
,,,,0
San Francisco,8/13/11,71,54,0
,,,,0
San Francisco,8/14/11,71,55,0
,,,,0
San Francisco,8/15/11,71,56,0
,,,,0
San Francisco,8/16/11,69,54,0
,,,,0
San Francisco,8/17/11,67,55,0
,,,,0
San Francisco,8/18/11,66,55,0
,,,,0
San Francisco,8/19/11,68,55,0
,,,,0
San Francisco,8/20/11,68,56,0
,,,,0
San Francisco,8/21/11,68,57,0
,,,,0
San Francisco,8/22/11,67,56,0
,,,,0
San Francisco,8/23/11,85,55,0
,,,,0
San Francisco,8/24/11,71,56,0
,,,,0
San Francisco,8/25/11,69,57,0
,,,,0
San Francisco,8/26/11,69,56,0
,,,,0
San Francisco,8/27/11,69,54,0
,,,,0
San Francisco,8/28/11,68,53,0
,,,,0
San Francisco,8/29/11,68,55,0
,,,,0
San Francisco,8/30/11,71,56,0
,,,,0
San Francisco,8/31/11,70,54,0
,,,,0
San Francisco,9/1/11,71,54,0
,,,,0
San Francisco,9/2/11,74,55,0
,,,,0
San Francisco,9/3/11,67,54,0
,,,,0
San Francisco,9/4/11,66,55,0
,,,,0
San Francisco,9/5/11,65,53,0
,,,,0
San Francisco,9/6/11,73,52,0
,,,,0
San Francisco,9/7/11,86,52,0
,,,,0
San Francisco,9/8/11,65,53,0
,,,,0
San Francisco,9/9/11,68,54,0
,,,,0
San Francisco,9/10/11,74,56,0
,,,,0
San Francisco,9/11/11,73,61,0
,,,,0
San Francisco,9/12/11,69,60,0
,,,,0
San Francisco,9/13/11,70,57,0
,,,,0
San Francisco,9/14/11,66,56,0
,,,,0
San Francisco,9/15/11,68,57,0
,,,,0
San Francisco,9/16/11,66,56,0
,,,,0
San Francisco,9/17/11,72,52,0
,,,,0
San Francisco,9/18/11,81,55,0
,,,,0
San Francisco,9/19/11,88,57,0
,,,,0
San Francisco,9/20/11,86,57,0
,,,,0
San Francisco,9/21/11,78,54,0
,,,,0
San Francisco,9/22/11,75,54,0
,,,,0
San Francisco,9/23/11,78,55,0
,,,,0
San Francisco,9/24/11,69,56,0
,,,,0
San Francisco,9/25/11,70,55,0.01
,,,,0
San Francisco,9/26/11,73,53,0
,,,,0
San Francisco,9/27/11,82,55,0
,,,,0
San Francisco,9/28/11,90,61,0
,,,,0
San Francisco,9/29/11,77,57,0
,,,,0
San Francisco,9/30/11,72,61,0
,,,,0
San Francisco,10/1/11,73,61,0
,,,,0
San Francisco,10/2/11,72,57,0
,,,,0
San Francisco,10/3/11,66,55,0.16
,,,,0
San Francisco,10/4/11,66,57,0.26
,,,,0
San Francisco,10/5/11,64,53,0.68
,,,,0
San Francisco,10/6/11,64,54,0.02
,,,,0
San Francisco,10/7/11,68,50,0
,,,,0
San Francisco,10/8/11,70,52,0
,,,,0
San Francisco,10/9/11,67,53,0
,,,,0
San Francisco,10/10/11,67,60,0.06
,,,,0
San Francisco,10/11/11,73,59,0
,,,,0
San Francisco,10/12/11,78,57,0
,,,,0
San Francisco,10/13/11,83,59,0
,,,,0
San Francisco,10/14/11,83,60,0
,,,,0
San Francisco,10/15/11,72,60,0
,,,,0
San Francisco,10/16/11,72,59,0
,,,,0
San Francisco,10/17/11,79,56,0
,,,,0
San Francisco,10/18/11,66,56,0
,,,,0
San Francisco,10/19/11,64,57,0
,,,,0
San Francisco,10/20/11,64,54,0
,,,,0
San Francisco,10/21/11,71,53,0
,,,,0
San Francisco,10/22/11,82,54,0
,,,,0
San Francisco,10/23/11,80,57,0
,,,,0
San Francisco,10/24/11,70,55,0
,,,,0
San Francisco,10/25/11,65,51,0
,,,,0
San Francisco,10/26/11,69,47,0
,,,,0
San Francisco,10/27/11,72,48,0
,,,,0
San Francisco,10/28/11,70,50,0
,,,,0
San Francisco,10/29/11,74,49,0
,,,,0
San Francisco,10/30/11,74,52,0
,,,,0
San Francisco,10/31/11,71,53,0
,,,,0
San Francisco,11/1/11,71,51,0
,,,,0
San Francisco,11/2/11,72,54,0
,,,,0
San Francisco,11/3/11,60,48,0.02
,,,,0
San Francisco,11/4/11,57,46,0.2
,,,,0
San Francisco,11/5/11,57,48,0.23
,,,,0
San Francisco,11/6/11,59,48,0.01
,,,,0
San Francisco,11/7/11,60,46,0
,,,,0
San Francisco,11/8/11,61,43,0
,,,,0
San Francisco,11/9/11,62,43,0
,,,,0
San Francisco,11/10/11,63,45,0
,,,,0
San Francisco,11/11/11,59,48,0.46
,,,,0
San Francisco,11/12/11,60,50,0.01
,,,,0
San Francisco,11/13/11,63,50,0
,,,,0
San Francisco,11/14/11,61,50,0
,,,,0
San Francisco,11/15/11,63,46,0
,,,,0
San Francisco,11/16/11,62,47,0
,,,,0
San Francisco,11/17/11,61,51,0
,,,,0
San Francisco,11/18/11,58,48,0.01
,,,,0
San Francisco,11/19/11,55,43,0.31
,,,,0
San Francisco,11/20/11,55,48,0.17
,,,,0
San Francisco,11/21/11,57,48,0
,,,,0
San Francisco,11/22/11,60,46,0
,,,,0
San Francisco,11/23/11,60,48,0
,,,,0
San Francisco,11/24/11,56,48,0.13
,,,,0
San Francisco,11/25/11,57,48,0
,,,,0
San Francisco,11/26/11,59,49,0
,,,,0
San Francisco,11/27/11,57,47,0
,,,,0
San Francisco,11/28/11,57,47,0
,,,,0
San Francisco,11/29/11,53,47,0
,,,,0
San Francisco,11/30/11,64,48,0
,,,,0
San Francisco,12/1/11,63,56,0
,,,,0
San Francisco,12/2/11,71,54,0
,,,,0
San Francisco,12/3/11,61,47,0
,,,,0
San Francisco,12/4/11,58,42,0
,,,,0
San Francisco,12/5/11,57,41,0
,,,,0
San Francisco,12/6/11,54,39,0
,,,,0
San Francisco,12/7/11,55,39,0
,,,,0
San Francisco,12/8/11,57,39,0
,,,,0
San Francisco,12/9/11,58,39,0
,,,,0
San Francisco,12/10/11,57,40,0
,,,,0
San Francisco,12/11/11,53,43,0.01
,,,,0
San Francisco,12/12/11,51,43,0.06
,,,,0
San Francisco,12/13/11,56,39,0
,,,,0
San Francisco,12/14/11,52,40,0
,,,,0
San Francisco,12/15/11,53,43,0.06
,,,,0
San Francisco,12/16/11,62,38,0
,,,,0
San Francisco,12/17/11,55,39,0
,,,,0
San Francisco,12/18/11,53,40,0
,,,,0
San Francisco,12/19/11,59,45,0
,,,,0
San Francisco,12/20/11,60,40,0
,,,,0
San Francisco,12/21/11,60,39,0
,,,,0
San Francisco,12/22/11,57,39,0
,,,,0
San Francisco,12/23/11,52,36,0
,,,,0
San Francisco,12/24/11,57,36,0
,,,,0
San Francisco,12/25/11,52,36,0
,,,,0
San Francisco,12/26/11,52,39,0
,,,,0
San Francisco,12/27/11,57,45,0
,,,,0
San Francisco,12/28/11,59,43,0
,,,,0
San Francisco,12/29/11,56,46,0
,,,,0
San Francisco,12/30/11,54,49,0
,,,,0
San Francisco,12/31/11,57,43,0
,,,,0
San Francisco,1/1/12,58,43,0
,,,,0
San Francisco,1/2/12,55,45,0
,,,,0
San Francisco,1/3/12,53,48,0
,,,,0
San Francisco,1/4/12,57,43,0
,,,,0
San Francisco,1/5/12,61,43,0
,,,,0
San Francisco,1/6/12,56,44,0
,,,,0
San Francisco,1/7/12,64,41,0
,,,,0
San Francisco,1/8/12,65,46,0
,,,,0
San Francisco,1/9/12,60,41,0
,,,,0
San Francisco,1/10/12,59,40,0
,,,,0
San Francisco,1/11/12,65,39,0
,,,,0
San Francisco,1/12/12,63,40,0
,,,,0
San Francisco,1/13/12,62,40,0
,,,,0
San Francisco,1/14/12,60,40,0
,,,,0
San Francisco,1/15/12,52,44,0
,,,,0
San Francisco,1/16/12,50,35,0
,,,,0
San Francisco,1/17/12,51,34,0
,,,,0
San Francisco,1/18/12,53,35,0
,,,,0
San Francisco,1/19/12,52,38,0.08
,,,,0
San Francisco,1/20/12,59,49,1.22
,,,,0
San Francisco,1/21/12,57,45,0.08
,,,,0
San Francisco,1/22/12,53,44,0.29
,,,,0
San Francisco,1/23/12,57,49,0.49
,,,,0
San Francisco,1/24/12,58,46,0
,,,,0
San Francisco,1/25/12,61,49,0
,,,,0
San Francisco,1/26/12,60,50,0
,,,,0
San Francisco,1/27/12,65,46,0
,,,,0
San Francisco,1/28/12,61,40,0
,,,,0
San Francisco,1/29/12,60,43,0
,,,,0
San Francisco,1/30/12,56,49,0
,,,,0
San Francisco,1/31/12,57,45,0
,,,,0
San Francisco,2/1/12,57,45,0
,,,,0
San Francisco,2/2/12,66,43,0
,,,,0
San Francisco,2/3/12,62,44,0
,,,,0
San Francisco,2/4/12,62,42,0
,,,,0
San Francisco,2/5/12,60,42,0
,,,,0
San Francisco,2/6/12,61,45,0.07
,,,,0
San Francisco,2/7/12,59,53,0.08
,,,,0
San Francisco,2/8/12,63,48,0
,,,,0
San Francisco,2/9/12,66,46,0
,,,,0
San Francisco,2/10/12,62,46,0
,,,,0
San Francisco,2/11/12,54,49,0.02
,,,,0
San Francisco,2/12/12,56,47,0.04
,,,,0
San Francisco,2/13/12,53,45,0.1
,,,,0
San Francisco,2/14/12,56,43,0
,,,,0
San Francisco,2/15/12,58,42,0.08
,,,,0
San Francisco,2/16/12,63,41,0
,,,,0
San Francisco,2/17/12,59,44,0
,,,,0
San Francisco,2/18/12,57,46,0
,,,,0
San Francisco,2/19/12,54,42,0
,,,,0
San Francisco,2/20/12,56,48,0.03
,,,,0
San Francisco,2/21/12,61,47,0
,,,,0
San Francisco,2/22/12,70,48,0
,,,,0
San Francisco,2/23/12,68,47,0
,,,,0
San Francisco,2/24/12,70,47,0
,,,,0
San Francisco,2/25/12,57,45,0
,,,,0
San Francisco,2/26/12,54,39,0
,,,,0
San Francisco,2/27/12,52,39,0
,,,,0
San Francisco,2/28/12,54,44,0.01
,,,,0
San Francisco,2/29/12,56,46,0.23
,,,,0
San Francisco,3/1/12,54,43,0.08
,,,,0
San Francisco,3/2/12,63,40,0
,,,,0
San Francisco,3/3/12,69,42,0
,,,,0
San Francisco,3/4/12,73,45,0
,,,,0
San Francisco,3/5/12,57,43,0
,,,,0
San Francisco,3/6/12,54,46,0.01
,,,,0
San Francisco,3/7/12,61,46,0
,,,,0
San Francisco,3/8/12,65,41,0
,,,,0
San Francisco,3/9/12,68,43,0
,,,,0
San Francisco,3/10/12,59,46,0
,,,,0
San Francisco,3/11/12,60,48,0
,,,,0
San Francisco,3/12/12,61,42,0
,,,,0
San Francisco,3/13/12,56,52,0.45
,,,,0
San Francisco,3/14/12,58,55,0.78
,,,,0
San Francisco,3/15/12,61,55,0.1
,,,,0
San Francisco,3/16/12,58,48,0.79
,,,,0
San Francisco,3/17/12,52,43,0
,,,,0
San Francisco,3/18/12,52,44,0
,,,,0
San Francisco,3/19/12,56,43,0
,,,,0
San Francisco,3/20/12,62,50,0
,,,,0
San Francisco,3/21/12,67,49,0
,,,,0
San Francisco,3/22/12,55,47,0
,,,,0
San Francisco,3/23/12,60,42,0
,,,,0
San Francisco,3/24/12,53,44,1.08
,,,,0
San Francisco,3/25/12,57,44,0.21
,,,,0
San Francisco,3/26/12,58,45,0
,,,,0
San Francisco,3/27/12,59,52,0.61
,,,,0
San Francisco,3/28/12,64,52,0
,,,,0
San Francisco,3/29/12,63,50,0
,,,,0
San Francisco,3/30/12,64,54,0
,,,,0
San Francisco,3/31/12,60,48,0.65
,,,,0
San Francisco,4/1/12,57,48,0.01
,,,,0
San Francisco,4/2/12,63,45,0
,,,,0
San Francisco,4/3/12,64,49,0.03
,,,,0
San Francisco,4/4/12,57,46,0
,,,,0
San Francisco,4/5/12,55,44,0
,,,,0
San Francisco,4/6/12,57,43,0
,,,,0
San Francisco,4/7/12,64,41,0
,,,,0
San Francisco,4/8/12,64,43,0
,,,,0
San Francisco,4/9/12,65,47,0
,,,,0
San Francisco,4/10/12,57,52,0.41
,,,,0
San Francisco,4/11/12,59,49,0.03
,,,,0
San Francisco,4/12/12,61,47,1.12
,,,,0
San Francisco,4/13/12,55,47,0.76
,,,,0
San Francisco,4/14/12,60,48,0
,,,,0
San Francisco,4/15/12,64,51,0
,,,,0
San Francisco,4/16/12,62,50,0
,,,,0
San Francisco,4/17/12,61,52,0
,,,,0
San Francisco,4/18/12,65,51,0
,,,,0
San Francisco,4/19/12,68,55,0
,,,,0
San Francisco,4/20/12,78,55,0
,,,,0
San Francisco,4/21/12,80,56,0
,,,,0
San Francisco,4/22/12,69,52,0
,,,,0
San Francisco,4/23/12,67,54,0
,,,,0
